GDP pc 2011 prices;Afghanistan;Angola;Albania;United Arab Emirates;Argentina;Armenia;Australia;Austria;Azerbaijan;Burundi;Belgium;Benin;Burkina Faso;Bangladesh;Bulgaria;Bahrain;Bosnia and Herzegovina;Belarus;Bolivia (Plurinational State of);Brazil;Barbados;Botswana;Central African Republic;Canada;Switzerland;Chile;China;Côte d'Ivoire;Cameroon;D.R. of the Congo;Congo;Colombia;Comoros;Cabo Verde;Costa Rica;Czechoslovakia;Cuba;Cyprus;Czech Republic;Germany;Djibouti;Dominica;Denmark;Dominican Republic;Algeria;Ecuador;Egypt;Spain;Estonia;Ethiopia;Finland;France;Gabon;United Kingdom;Georgia;Ghana;Guinea;Gambia;Guinea-Bissau;Equatorial Guinea;Greece;Guatemala;China, Hong Kong SAR;Honduras;Croatia;Haiti;Hungary;Indonesia;India;Ireland;Iran (Islamic Republic of);Iraq;Iceland;Israel;Italy;Jamaica;Jordan;Japan;Kazakhstan;Kenya;Kyrgyzstan;Cambodia;Republic of Korea;Kuwait;Lao People's DR;Lebanon;Liberia;Libya;Saint Lucia;Sri Lanka;Lesotho;Lithuania;Luxembourg;Latvia;Morocco;Republic of Moldova;Madagascar;Mexico;TFYR of Macedonia;Mali;Malta;Myanmar;Montenegro;Mongolia;Mozambique;Mauritania;Mauritius;Malawi;Malaysia;Namibia;Niger;Nigeria;Nicaragua;Netherlands;Norway;Nepal;New Zealand;Oman;Pakistan;Panama;Peru;Philippines;Poland;Puerto Rico;D.P.R. of Korea;Portugal;Paraguay;State of Palestine;Qatar;Romania;Russian Federation;Rwanda;Saudi Arabia;Sudan (Former);Senegal;Singapore;Sierra Leone;El Salvador;Serbia;Sao Tome and Principe;Former USSR;Slovakia;Slovenia;Sweden;Swaziland;Seychelles;Syrian Arab Republic;Chad;Togo;Thailand;Tajikistan;Turkmenistan;Trinidad and Tobago;Tunisia;Turkey;Taiwan, Province of China;U.R. of Tanzania: Mainland;Uganda;Ukraine;Uruguay;United States;Uzbekistan;Venezuela (Bolivarian Republic of);Viet Nam;Yemen;Former Yugoslavia;South Africa;Zambia;Zimbabwe
year;AFG;AGO;ALB;ARE;ARG;ARM;AUS;AUT;AZE;BDI;BEL;BEN;BFA;BGD;BGR;BHR;BIH;BLR;BOL;BRA;BRB;BWA;CAF;CAN;CHE;CHL;CHN;CIV;CMR;COD;COG;COL;COM;CPV;CRI;CSK;CUB;CYP;CZE;DEU;DJI;DMA;DNK;DOM;DZA;ECU;EGY;ESP;EST;ETH;FIN;FRA;GAB;GBR;GEO;GHA;GIN;GMB;GNB;GNQ;GRC;GTM;HKG;HND;HRV;HTI;HUN;IDN;IND;IRL;IRN;IRQ;ISL;ISR;ITA;JAM;JOR;JPN;KAZ;KEN;KGZ;KHM;KOR;KWT;LAO;LBN;LBR;LBY;LCA;LKA;LSO;LTU;LUX;LVA;MAR;MDA;MDG;MEX;MKD;MLI;MLT;MMR;MNE;MNG;MOZ;MRT;MUS;MWI;MYS;NAM;NER;NGA;NIC;NLD;NOR;NPL;NZL;OMN;PAK;PAN;PER;PHL;POL;PRI;PRK;PRT;PRY;PSE;QAT;ROU;RUS;RWA;SAU;SDN;SEN;SGP;SLE;SLV;SRB;STP;SUN;SVK;SVN;SWE;SWZ;SYC;SYR;TCD;TGO;THA;TJK;TKM;TTO;TUN;TUR;TWN;TZA;UGA;UKR;URY;USA;UZB;VEN;VNM;YEM;YUG;ZAF;ZMB;ZWE
1596;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.379 ;;;;;;;;;;;;;;;;;;;;;2273;;;;;;;;;;;;;;;;;;;;;;; 	752 ;;;;;;;;;;;;;;;; 	4.006 ;;;;;;; 	905 ;; 	1.078 ;;; 	1.205 ;;;;;;;;;;;;;;;;;; 	1.462 ;;;;;;;;;;;;;;;;;;;;;;;;;
1597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.316 ;;;;;;;;;;;;;;;;;;;;;2327;;;;;;;;;;;;;;;;;;;;;;; 	740 ;;;;;;;;;;;;;;;; 	4.490 ;;;;;;; 	912 ;; 	1.070 ;;; 	1.081 ;;;;;;;;;;;;;;;;;; 	1.202 ;;;;;;;;;;;;;;;;;;;;;;;;;
1598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.569 ;;;;;;;;;;;;;;;;;;;;;2396;;;;;;;;;;;;;;;;;;;;;;; 	741 ;;;;;;;;;;;;;;;; 	3.957 ;;;;;;; 	977 ;; 	1.058 ;;; 	1.042 ;;;;;;;;;;;;;;;;;; 	1.130 ;;;;;;;;;;;;;;;;;;;;;;;;;
1599;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.610 ;; 	1.788 ;;;;;;;;;;;;;;;;;;;;;2496;;;;;;;;;;;;;;;;;;;;;;; 	767 ;;;;;;;;;;;;;;;; 	4.152 ;;;;;;; 	936 ;; 	1.038 ;;; 	1.049 ;;;;;;;;;;;;;;;;;; 	1.270 ;;;;;;;;;;;;;;;;;;;;;;;;;
1600;;;;;;;;;;; 	2.533 ;;;;;;;;;;;;;;;; 	1.217 ;;;;;;;;;;;;; 	1.286 ;;;;;;;;;;; 	1.191 ; 	1.610 ;; 	1.691 ;;;;;;;;;;;;;;; 	1.264 ;;;;;;2404;;; 	1.061 ;;;;;;;;;;;;;;;;;;;; 	799 ;;;;;;;;;;;;;;;; 	4.270 ;;;;;;; 	921 ;; 	1.038 ;;; 	1.258 ;;;;;;;;;;;;;;;;;; 	1.258 ;;;;;;;;;;;;;;;;;;;;;;;;;
1601;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.671 ;;;;;;;;;;;;;;;;;;;;;2304;;;;;;;;;;;;;;;;;;;;;;; 	811 ;;;;;;;;;;;;;;;; 	3.791 ;;;;;;; 	960 ;; 	1.027 ;;; 	1.394 ;;;;;;;;;;;;;;;;;; 	1.436 ;;;;;;;;;;;;;;;;;;;;;;;;;
1602;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.751 ;;;;;;;;;;;;;;;;;;;;;2319;;;;;;;;;;;;;;;;;;;;;;; 	821 ;;;;;;;;;;;;;;;; 	3.266 ;;;;;;; 	964 ;; 	1.020 ;;; 	1.446 ;;;;;;;;;;;;;;;;;; 	1.242 ;;;;;;;;;;;;;;;;;;;;;;;;;
1603;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.849 ;;;;;;;;;;;;;;;;;;;;;2427;;;;;;;;;;;;;;;;;;;;;;; 	835 ;;;;;;;;;;;;;;;; 	3.849 ;;;;;;; 	918 ;; 	1.012 ;;; 	1.300 ;;;;;;;;;;;;;;;;;; 	1.266 ;;;;;;;;;;;;;;;;;;;;;;;;;
1604;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.610 ;; 	1.967 ;;;;;;;;;;;;;;;;;;;;;2350;;;;;;;;;;;;;;;;;;;;;;; 	853 ;;;;;;;;;;;;;;;; 	3.924 ;;;;;;; 	910 ;; 	1.007 ;;; 	1.282 ;;;;;;;;;;;;;;;;;; 	1.376 ;;;;;;;;;;;;;;;;;;;;;;;;;
1605;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.465 ;;;; 	1.610 ;; 	1.752 ;;;;;;;;;;;;;;;;;;;;;2373;;;;;;;;;;;;;;;;;;;;;;; 	867 ;;;;;;;;;;;;;;;; 	3.278 ;;;;;;; 	910 ;; 	1.004 ;;; 	1.366 ;;;;;;;;;;;;;;;;;; 	1.329 ;;;;;;;;;;;;;;;;;;;;;;;;;
1606;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.831 ;;;;;;;;;;;;;;;;;;;;;2296;;;;;;;;;;;;;;;;;;;;;;; 	891 ;;;;;;;;;;;;;;;; 	3.622 ;;;;;;; 	913 ;; 	996 ;;; 	1.385 ;;;;;;;;;;;;;;;;;; 	1.363 ;;;;;;;;;;;;;;;;;;;;;;;;;
1607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.660 ;;;;;;;;;;;;;;;;;;;;;2312;;;;;;;;;;;;;;;;;;;;;;; 	907 ;;;;;;;;;;;;;;;; 	3.196 ;;;;;;; 	931 ;; 	999 ;;; 	1.350 ;;;;;;;;;;;;;;;;;; 	1.427 ;;;;;;;;;;;;;;;;;;;;;;;;;
1608;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.571 ;;;;;;;;;;;;;;;;;;;;;2389;;;;;;;;;;;;;;;;;;;;;;; 	936 ;;;;;;;;;;;;;;;; 	4.799 ;;;;;;; 	936 ;; 	998 ;;; 	1.281 ;;;;;;;;;;;;;;;;;; 	1.412 ;;;;;;;;;;;;;;;;;;;;;;;;;
1609;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.812 ;;;;;;;;;;;;;;;;;;;;;2496;;;;;;;;;;;;;;;;;;;;;;; 	964 ;;;;;;;;;;;;;;;; 	4.054 ;;;;;;; 	1.038 ;; 	996 ;;; 	1.313 ;;;;;;;;;;;;;;;;;; 	1.519 ;;;;;;;;;;;;;;;;;;;;;;;;;
1610;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.282 ;;;;;;;;;;;;;;;;;;;;;;;;; 	1.626 ;; 	1.919 ;;;;;;;;;;;;;;;;;;;;;2565;;;;;;;;;;;;;;;;;;;;;;; 	976 ;;;;;;;;;;;;;;;; 	3.365 ;;;;;;; 	1.076 ;; 	995 ;;; 	1.471 ;;;;;;;;;;;;;;;;;; 	1.486 ;;;;;;;;;;;;;;;;;;;;;;;;;
1611;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.757 ;;;;;;;;;;;;;;;;;;;;;2535;;;;;;;;;;;;;;;;;;;;;;; 	979 ;;;;;;;;;;;;;;;; 	3.568 ;;;;;;; 	1.011 ;; 	990 ;;; 	1.429 ;;;;;;;;;;;;;;;;;; 	1.513 ;;;;;;;;;;;;;;;;;;;;;;;;;
1612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.675 ;;;;;;;;;;;;;;;;;;;;;2496;;;;;;;;;;;;;;;;;;;;;;; 	1.003 ;;;;;;;;;;;;;;;; 	3.383 ;;;;;;; 	1.057 ;; 	987 ;;; 	1.349 ;;;;;;;;;;;;;;;;;; 	1.686 ;;;;;;;;;;;;;;;;;;;;;;;;;
1613;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.612 ;;;;;;;;;;;;;;;;;;;;;2481;;;;;;;;;;;;;;;;;;;;;;; 	1.009 ;;;;;;;;;;;;;;;; 	3.217 ;;;;;;; 	1.033 ;; 	980 ;;; 	1.307 ;;;;;;;;;;;;;;;;;; 	1.564 ;;;;;;;;;;;;;;;;;;;;;;;;;
1614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.555 ;;;;;;;;;;;;;;;;;;;;;2511;;;;;;;;;;;;;;;;;;;;;;; 	1.004 ;;;;;;;;;;;;;;;; 	3.391 ;;;;;;; 	1.057 ;; 	976 ;;; 	1.353 ;;;;;;;;;;;;;;;;;; 	1.425 ;;;;;;;;;;;;;;;;;;;;;;;;;
1615;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.447 ;;;; 	1.643 ;; 	1.681 ;;;;;;;;;;;;;;;;;;;;;2465;;;;;;;;;;;;;;;;;;;;;;; 	999 ;;;;;;;;;;;;;;;; 	3.064 ;;;;;;; 	1.028 ;; 	960 ;;; 	1.424 ;;;;;;;;;;;;;;;;;; 	1.494 ;;;;;;;;;;;;;;;;;;;;;;;;;
1616;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.586 ;;;;;;;;;;;;;;;;;;;;;2558;;;;;;;;;;;;;;;;;;;;;;; 	993 ;;;;;;;;;;;;;;;; 	3.269 ;;;;;;; 	983 ;; 	940 ;;; 	1.463 ;;;;;;;;;;;;;;;;;; 	1.462 ;;;;;;;;;;;;;;;;;;;;;;;;;
1617;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.749 ;;;;;;;;;;;;;;;;;;;;;2511;;;;;;;;;;;;;;;;;;;;;;; 	996 ;;;;;;;;;;;;;;;; 	3.361 ;;;;;;; 	998 ;; 	923 ;;; 	1.370 ;;;;;;;;;;;;;;;;;; 	1.447 ;;;;;;;;;;;;;;;;;;;;;;;;;
1618;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.740 ;;;;;;;;;;;;;;;;;;;;;2427;;;;;;;;;;;;;;;;;;;;;;; 	1.001 ;;;;;;;;;;;;;;;; 	5.118 ;;;;;;; 	996 ;; 	912 ;;; 	1.283 ;;;;;;;;;;;;;;;;;; 	1.664 ;;;;;;;;;;;;;;;;;;;;;;;;;
1619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.586 ;;;;;;;;;;;;;;;;;;;;;2450;;;;;;;;;;;;;;;;;;;;;;; 	987 ;;;;;;;;;;;;;;;; 	4.620 ;;;;;;; 	999 ;; 	889 ;;; 	1.284 ;;;;;;;;;;;;;;;;;; 	1.519 ;;;;;;;;;;;;;;;;;;;;;;;;;
1620;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.262 ;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.842 ;;;;;;;;;;;;;;;;;;;;;2519;;;;;;;;;;;;;;;;;;;;;;; 	1.003 ;;;;;;;;;;;;;;;; 	3.493 ;;;;;;; 	995 ;; 	872 ;;; 	1.446 ;;;;;;;;;;;;;;;;;; 	1.623 ;;;;;;;;;;;;;;;;;;;;;;;;;
1621;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.832 ;;;;;;;;;;;;;;;;;;;;;2627;;;;;;;;;;;;;;;;;;;;;;; 	1.014 ;;;;;;;;;;;;;;;; 	4.185 ;;;;;;; 	998 ;; 	853 ;;; 	1.446 ;;;;;;;;;;;;;;;;;; 	1.865 ;;;;;;;;;;;;;;;;;;;;;;;;;
1622;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.581 ;;;;;;;;;;;;;;;;;;;;;2588;;;;;;;;;;;;;;;;;;;;;;; 	1.023 ;;;;;;;;;;;;;;;; 	4.451 ;;;;;;; 	976 ;; 	834 ;;; 	1.407 ;;;;;;;;;;;;;;;;;; 	1.739 ;;;;;;;;;;;;;;;;;;;;;;;;;
1623;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.568 ;;;;;;;;;;;;;;;;;;;;;2581;;;;;;;;;;;;;;;;;;;;;;; 	1.022 ;;;;;;;;;;;;;;;; 	3.940 ;;;;;;; 	966 ;; 	827 ;;; 	1.341 ;;;;;;;;;;;;;;;;;; 	1.454 ;;;;;;;;;;;;;;;;;;;;;;;;;
1624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.781 ;;;;;;;;;;;;;;;;;;;;;2604;;;;;;;;;;;;;;;;;;;;;;; 	1.015 ;;;;;;;;;;;;;;;; 	3.660 ;;;;;;; 	999 ;; 	826 ;;; 	1.412 ;;;;;;;;;;;;;;;;;; 	1.455 ;;;;;;;;;;;;;;;;;;;;;;;;;
1625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.394 ;;;; 	1.643 ;; 	1.798 ;;;;;;;;;;;;;;;;;;;;;2688;;;;;;;;;;;;;;;;;;;;;;; 	1.022 ;;;;;;;;;;;;;;;; 	3.313 ;;;;;;; 	998 ;; 	824 ;;; 	1.530 ;;;;;;;;;;;;;;;;;; 	1.449 ;;;;;;;;;;;;;;;;;;;;;;;;;
1626;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.730 ;;;;;;;;;;;;;;;;;;;;;2642;;;;;;;;;;;;;;;;;;;;;;; 	1.050 ;;;;;;;;;;;;;;;; 	4.234 ;;;;;;; 	1.041 ;; 	832 ;;; 	1.429 ;;;;;;;;;;;;;;;;;; 	1.527 ;;;;;;;;;;;;;;;;;;;;;;;;;
1627;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.733 ;;;;;;;;;;;;;;;;;;;;;2542;;;;;;;;;;;;;;;;;;;;;;; 	1.079 ;;;;;;;;;;;;;;;; 	3.381 ;;;;;;; 	1.057 ;; 	835 ;;; 	1.328 ;;;;;;;;;;;;;;;;;; 	1.505 ;;;;;;;;;;;;;;;;;;;;;;;;;
1628;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.947 ;;;;;;;;;;;;;;;;;;;;;2442;;;;;;;;;;;;;;;;;;;;;;; 	1.078 ;;;;;;;;;;;;;;;; 	3.441 ;;;;;;; 	1.066 ;; 	848 ;;; 	1.255 ;;;;;;;;;;;;;;;;;; 	1.420 ;;;;;;;;;;;;;;;;;;;;;;;;;
1629;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.430 ;;;;;;;;;;;;;;;;;;;;;2404;;;;;;;;;;;;;;;;;;;;;;; 	1.089 ;;;;;;;;;;;;;;;; 	3.288 ;;;;;;; 	1.062 ;; 	859 ;;; 	1.310 ;;;;;;;;;;;;;;;;;; 	1.385 ;;;;;;;;;;;;;;;;;;;;;;;;;
1630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.416 ;;;;;;;;;;;;;;;;;;;;;2558;;;;;;;;;;;;;;;;;;;;;;; 	1.121 ;;;;;;;;;;;;;;;; 	3.198 ;;;;;;; 	1.046 ;; 	872 ;;; 	1.251 ;;;;;;;;;;;;;;;;;; 	1.423 ;;;;;;;;;;;;;;;;;;;;;;;;;
1631;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.451 ;;;;;;;;;;;;;;;;;;;;;2703;;;;;;;;;;;;;;;;;;;;;;; 	1.121 ;;;;;;;;;;;;;;;; 	4.188 ;;;;;;; 	1.070 ;; 	883 ;;; 	1.146 ;;;;;;;;;;;;;;;;;; 	1.597 ;;;;;;;;;;;;;;;;;;;;;;;;;
1632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.643 ;; 	1.630 ;;;;;;;;;;;;;;;;;;;;;2857;;;;;;;;;;;;;;;;;;;;;;; 	1.117 ;;;;;;;;;;;;;;;; 	3.854 ;;;;;;; 	1.087 ;; 	893 ;;; 	1.116 ;;;;;;;;;;;;;;;;;; 	1.605 ;;;;;;;;;;;;;;;;;;;;;;;;;
1633;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.501 ;;;;;;;;;;;;;;;;;;;;;2849;;;;;;;;;;;;;;;;;;;;;;; 	1.119 ;;;;;;;;;;;;;;;; 	4.184 ;;;;;;; 	1.109 ;; 	905 ;;; 	1.230 ;;;;;;;;;;;;;;;;;; 	1.554 ;;;;;;;;;;;;;;;;;;;;;;;;;
1634;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.519 ;;;;;;;;;;;;;;;;;;;;;2895;;;;;;;;;;;;;;;;;;;;;;; 	1.117 ;;;;;;;;;;;;;;;; 	4.006 ;;;;;;; 	1.098 ;; 	912 ;;; 	1.405 ;;;;;;;;;;;;;;;;;; 	1.505 ;;;;;;;;;;;;;;;;;;;;;;;;;
1635;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.376 ;;;; 	1.659 ;; 	1.571 ;;;;;;;;;;;;;;;;;;;;;2596;;;;;;;;;;;;;;;;;;;;;;; 	1.137 ;;;;;;;;;;;;;;;; 	4.373 ;;;;;;; 	1.202 ;; 	921 ;;; 	1.308 ;;;;;;;;;;;;;;;;;; 	1.629 ;;;;;;;;;;;;;;;;;;;;;;;;;
1636;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.526 ;;;;;;;;;;;;;;;;;;;;;2657;;;;;;;;;;;;;;;;;;;;;;; 	1.152 ;;;;;;;;;;;;;;;; 	4.094 ;;;;;;; 	1.202 ;; 	925 ;;; 	1.129 ;;;;;;;;;;;;;;;;;; 	1.780 ;;;;;;;;;;;;;;;;;;;;;;;;;
1637;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.476 ;;;;;;;;;;;;;;;;;;;;;2757;;;;;;;;;;;;;;;;;;;;;;; 	1.129 ;;;;;;;;;;;;;;;; 	3.503 ;;;;;;; 	1.168 ;; 	928 ;;; 	1.184 ;;;;;;;;;;;;;;;;;; 	1.773 ;;;;;;;;;;;;;;;;;;;;;;;;;
1638;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.624 ;;;;;;;;;;;;;;;;;;;;;2880;;;;;;;;;;;;;;;;;;;;;;; 	1.098 ;;;;;;;;;;;;;;;; 	3.916 ;;;;;;; 	1.143 ;; 	931 ;;; 	1.334 ;;;;;;;;;;;;;;;;;; 	1.701 ;;;;;;;;;;;;;;;;;;;;;;;;;
1639;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.640 ;;;;;;;;;;;;;;;;;;;;;2880;;;;;;;;;;;;;;;;;;;;;;; 	1.092 ;;;;;;;;;;;;;;;; 	3.852 ;;;;;;; 	1.132 ;; 	934 ;;; 	1.436 ;;;;;;;;;;;;;;;;;; 	1.677 ;;;;;;;;;;;;;;;;;;;;;;;;;
1640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.683 ;;;;;;;;;;;;;;;;;;;;;2942;;;;;;;;;;;;;;;;;;;;;;; 	1.090 ;;;;;;;;;;;;;;;; 	3.532 ;;;;;;; 	1.073 ;; 	929 ;;; 	1.425 ;;;;;;;;;;;;;;;;;; 	1.701 ;;;;;;;;;;;;;;;;;;;;;;;;;
1641;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.659 ;; 	1.499 ;;;;;;;;;;;;;;;;;;;;;3003;;;;;;;;;;;;;;;;;;;;;;; 	1.090 ;;;;;;;;;;;;;;;; 	3.920 ;;;;;;; 	1.188 ;; 	921 ;;; 	1.612 ;;;;;;;;;;;;;;;;;; 	1.602 ;;;;;;;;;;;;;;;;;;;;;;;;;
1642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.694 ;; 	1.635 ;;;;;;;;;;;;;;;;;;;;;2819;;;;;;;;;;;;;;;;;;;;;;; 	1.092 ;;;;;;;;;;;;;;;; 	4.047 ;;;;;;; 	1.172 ;; 	921 ;;; 	1.504 ;;;;;;;;;;;;;;;;;; 	1.615 ;;;;;;;;;;;;;;;;;;;;;;;;;
1643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.728 ;; 	1.725 ;;;;;;;;;;;;;;;;;;;;;2657;;;;;;;;;;;;;;;;;;;;;;; 	1.090 ;;;;;;;;;;;;;;;; 	3.914 ;;;;;;; 	1.178 ;; 	917 ;;; 	1.598 ;;;;;;;;;;;;;;;;;; 	1.670 ;;;;;;;;;;;;;;;;;;;;;;;;;
1644;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.745 ;; 	1.745 ;;;;;;;;;;;;;;;;;;;;;2665;;;;;;;;;;;;;;;;;;;;;;; 	1.087 ;;;;;;;;;;;;;;;; 	4.307 ;;;;;;; 	1.103 ;; 	913 ;;; 	1.539 ;;;;;;;;;;;;;;;;;; 	1.760 ;;;;;;;;;;;;;;;;;;;;;;;;;
1645;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.287 ;;;; 	1.745 ;; 	1.511 ;;;;;;;;;;;;;;;;;;;;;2757;;;;;;;;;;;;;;;;;;;;;;; 	1.081 ;;;;;;;;;;;;;;;; 	3.953 ;;;;;;; 	1.093 ;; 	901 ;;; 	1.576 ;;;;;;;;;;;;;;;;;; 	1.749 ;;;;;;;;;;;;;;;;;;;;;;;;;
1646;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.745 ;; 	1.524 ;;;;;;;;;;;;;;;;;;;;;2788;;;;;;;;;;;;;;;;;;;;;;; 	1.078 ;;;;;;;;;;;;;;;; 	3.879 ;;;;;;; 	1.098 ;; 	897 ;;; 	1.511 ;;;;;;;;;;;;;;;;;; 	1.659 ;;;;;;;;;;;;;;;;;;;;;;;;;
1647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.710 ;; 	1.515 ;;;;;;;;;;;;;;;;;;;;;2657;;;;;;;;;;;;;;;;;;;;;;; 	1.089 ;;;;;;;;;;;;;;;; 	3.964 ;;;;;;; 	1.033 ;; 	897 ;;; 	1.500 ;;;;;;;;;;;;;;;;;; 	1.715 ;;;;;;;;;;;;;;;;;;;;;;;;;
1648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 	1.677 ;; 	1.535 ;;;;;;;;;;;;;;;;;;;;;2542;;;;;;;;;;;;;;;;;;;;;;; 	1.117 ;;;;;;;;;;;;;;;; 	4.202 ;;;;;;; 	1.116 ;; 	896 ;;; 	1.479 ;;;;;;;;;;;;;;;;;; 	1.597 ;;;;;;;;;;;;;;;;;;;;;;;;;
