folio,region,comuna,pco1,sexo,edad,ecivil,yaimcorh,yautcor,ytotcor,yautcorh,ymonecorh,ytotcorh,yoprcor,yoprcorh,ytrabajocor,ytrabajocorh,ypchautcor,ypc,ypchtrabajo,esc,educ,depen
210111090601,2,2101,10,1,1,8,400000,NA,NA,1399167,1510077,1910077,NA,NA,NA,1370000,199881,272868,195714,NA,0,NA
1320110940101,13,13201,1,1,37,1,0,684167,684167,684167,684167,684167,650000,650000,684167,684167,228056,228056,228056,13,9,NA
110111910901,1,1101,9,1,28,1,400000,402500,402500,4002500,4002500,4402500,400000,400000,402500,3502500,571786,628929,500357,14,9,NA
610320021701,6,6103,2,2,49,1,80000,270000,270000,1586000,1586000,1666000,270000,270000,270000,1586000,528667,555333,528667,12,5,NA
1110111300401,11,11101,4,1,8,8,250000,NA,NA,1905000,1941841,2191841,NA,NA,NA,1905000,476250,547960,476250,NA,1,2
1310810021002,13,13108,2,2,40,2,0,380000,380000,1180000,1180000,1180000,380000,380000,380000,1180000,236000,236000,236000,12,5,NA
1311210070102,13,13112,9,2,20,2,200000,400000,400000,1450000,1479550,1679550,400000,400000,400000,1450000,207143,239936,207143,15,8,NA
1510130041001,15,15101,4,2,8,8,50000,NA,NA,350000,350000,400000,NA,NA,NA,350000,70000,80000,70000,NA,1,1
510310020201,5,5103,2,1,30,2,250000,1272000,1272000,1522000,1522000,1772000,850000,850000,1272000,1522000,304400,354400,304400,15,8,NA
1510111230201,15,15101,2,2,84,2,300000,NA,104646,920000,1024646,1324646,NA,NA,NA,630000,230000,331162,157500,8,3,NA
570110322201,5,5701,1,2,59,7,0,300000,300000,480000,480000,480000,280000,280000,300000,300000,240000,240000,150000,12,5,NA
1210111590101,12,12101,5,2,19,8,350000,NA,104646,940000,1049646,1399646,NA,NA,NA,800000,313333,466549,266667,0,0,NA
1312311371801,13,13123,1,2,89,7,300000,200000,304646,321000,425646,725646,NA,NA,NA,0,160500,362823,0,12,5,NA
1311010951801,13,13110,5,2,5,8,200000,NA,NA,502500,533970,733970,NA,NA,NA,352500,125625,183493,88125,NA,0,5
1311710161701,13,13117,1,2,71,7,170000,147000,150684,747000,752835,922835,NA,NA,NA,450000,249000,307612,150000,6,2,NA
420330011601,4,4203,2,2,34,2,120000,NA,NA,450000,487459,607459,NA,NA,NA,450000,112500,151865,112500,12,5,NA
1311110120701,13,13111,14,2,25,1,250000,808333,821945,2304749,2436619,2686619,250000,250000,808333,2184749,256083,298513,242750,15,9,10
110710491001,1,1107,5,1,25,8,250000,420000,420000,1420000,1420000,1670000,420000,420000,420000,1420000,473333,556667,473333,12,5,NA
830110030401,8,8301,2,1,61,2,0,292500,292500,322500,322500,322500,292500,292500,292500,322500,161250,161250,161250,0,0,NA
410210510301,4,4102,1,2,50,8,150000,244000,244000,792003,821553,971553,244000,244000,244000,792003,158401,194311,158401,0,0,NA
570610041501,5,5706,2,2,43,1,190000,NA,NA,825000,835000,1025000,NA,NA,NA,658333,412500,512500,329167,3,1,NA
830130021601,8,8301,1,1,70,2,250000,1425000,1425000,1825000,1825000,2075000,900000,900000,925000,1325000,912500,1037500,662500,12,5,NA
1010110590901,10,10101,1,1,37,1,0,450000,450000,880000,880000,880000,420000,420000,450000,880000,293333,293333,293333,17,11,NA
841610180901,16,16301,1,2,47,8,80000,270000,339209,270000,339209,419209,270000,270000,270000,270000,135000,209605,135000,8,2,NA
530310010401,5,5303,4,2,29,8,65000,304167,304167,1242918,1242918,1307918,300000,300000,304167,1242918,248584,261584,248584,6,1,NA
1210111141302,12,12101,5,2,15,8,300000,NA,NA,480000,480000,780000,NA,NA,NA,480000,160000,260000,160000,10,4,1
820510030301,8,8205,4,2,11,8,100000,NA,NA,1080000,1084000,1184000,NA,NA,NA,1080000,154286,169143,154286,NA,1,1
1311010860101,13,13110,4,1,42,8,300000,NA,NA,0,209292,509292,NA,NA,NA,0,0,169764,0,NA,99,NA
580230111901,5,5802,4,2,22,8,120000,300000,300000,605418,605418,725418,300000,300000,300000,605418,151355,181355,151355,15,8,NA
1312110040101,13,13121,14,2,30,2,0,NA,NA,1150000,1150000,1150000,NA,NA,NA,1150000,191667,191667,191667,4,1,NA
842110031401,16,16109,6,1,23,8,0,340000,340000,2559000,2592057,2592057,340000,340000,340000,2559000,511800,518411,511800,15,9,10
1312810191001,13,13128,5,1,12,8,0,NA,NA,600000,611268,611268,NA,NA,NA,600000,150000,152817,150000,NA,1,2
810310171801,8,8103,2,2,33,1,300000,1200000,1200000,4200000,4200000,4500000,1200000,1200000,1200000,4200000,2100000,2250000,2100000,19,10,99
630110190701,6,6301,1,1,49,1,180000,480000,480000,480000,480000,660000,480000,480000,480000,480000,120000,165000,120000,12,5,NA
410210120701,4,4102,5,2,2,8,200000,NA,NA,600000,611091,811091,NA,NA,NA,450000,150000,202773,112500,NA,0,NA
840820030101,16,16204,10,2,14,8,70000,NA,NA,494000,524038,594038,NA,NA,NA,396000,98800,118808,79200,NA,3,1
1310710070901,13,13107,1,1,67,6,150000,200000,304646,200000,304646,454646,200000,200000,200000,200000,200000,454646,200000,7,3,NA
1330230041301,13,13302,2,2,57,1,200000,NA,NA,762500,762500,962500,NA,NA,NA,702500,190625,240625,175625,8,2,NA
410210440301,4,4102,1,2,63,8,200000,275000,379646,578000,682646,882646,250000,250000,275000,578000,289000,441323,289000,17,11,NA
510910030501,5,5109,4,1,27,8,450000,454167,454167,2024167,2024167,2474167,450000,450000,454167,2024167,404833,494833,404833,14,9,NA
210111180101,2,2101,5,2,56,5,250000,350000,379473,790000,834473,1084473,350000,350000,350000,700000,158000,216895,140000,13,6,NA
580110360201,5,5801,5,1,21,8,150000,NA,NA,170000,189775,339775,NA,NA,NA,0,56667,113258,0,15,7,11
1310410010401,13,13104,1,1,52,5,250000,606667,606667,606667,606667,856667,600000,600000,606667,606667,202222,285556,202222,12,5,NA
1410110570701,14,14101,2,2,26,2,100000,NA,18459,350000,379550,479550,NA,NA,NA,350000,116667,159850,116667,12,6,NA
720210130301,7,7202,5,2,1,8,0,NA,11091,383549,424190,424190,NA,NA,NA,353549,95887,106048,88387,NA,0,NA
920930020301,9,9209,1,1,53,1,60000,321667,321667,321667,321667,381667,280000,280000,321667,321667,160834,190834,160834,8,2,NA
840110681001,16,16101,1,1,47,1,150000,100000,109133,530000,539133,689133,100000,100000,100000,530000,176667,229711,176667,6,1,NA
510310110901,5,5103,1,1,54,1,200000,460000,460000,1133074,1133074,1333074,460000,460000,460000,1133074,226615,266615,226615,12,5,NA
110111830101,1,1101,1,1,49,2,200000,403333,403333,673333,673333,873333,400000,400000,403333,673333,112222,145556,112222,12,5,NA
1320110431201,13,13201,4,1,14,8,200000,NA,14736,1211667,1255875,1455875,NA,NA,NA,1211667,403889,485292,403889,NA,2,2
430110521001,4,4301,5,2,3,8,200000,NA,11091,500000,564214,764214,NA,NA,NA,310000,83333,127369,51667,NA,0,NA
910110330401,9,9101,1,1,62,1,400000,2529167,2529167,4909167,4909167,5309167,1800000,1800000,2529167,4909167,1636389,1769722,1636389,18,11,NA
620620011101,6,6206,5,1,23,8,120000,260000,260000,780000,780000,900000,260000,260000,260000,780000,260000,300000,260000,12,6,NA
1110110320701,11,11101,1,2,40,1,200000,406667,406667,2067334,2067334,2267334,400000,400000,406667,2050667,344556,377889,341778,15,8,NA
1312910180701,13,13129,5,2,30,8,220000,452917,455068,1409917,1412068,1632068,450000,450000,452917,1107917,281983,326414,221583,17,11,NA
1311411351001,13,13114,4,2,7,8,300000,NA,NA,1030000,1037368,1337368,NA,NA,NA,1030000,206000,267474,206000,NA,1,2
841610321001,16,16301,1,1,88,7,120000,833,110411,833,110411,230411,NA,NA,833,833,833,230411,833,6,2,NA
510910922001,5,5109,5,1,23,8,120000,348764,348764,716764,738802,858802,228764,228764,228764,496764,179191,214701,124191,13,6,NA
510911580201,5,5109,4,1,2,8,200000,NA,NA,3174667,3204886,3404886,NA,NA,NA,2640167,529111,567481,440028,NA,0,2
1312910150201,13,13129,1,1,64,1,220000,480000,480000,933939,1040736,1260736,480000,480000,480000,933939,233485,315184,233485,2,1,NA
1312910160401,13,13129,6,1,21,8,250000,NA,NA,500000,500000,750000,NA,NA,NA,500000,166667,250000,166667,13,7,10
610610011401,6,6106,1,1,33,1,0,440000,445000,440000,504100,504100,320000,320000,440000,440000,88000,100820,88000,10,3,NA
810610060101,8,8106,4,1,22,8,0,NA,NA,426667,432502,432502,NA,NA,NA,423167,106667,108126,105792,12,5,NA
570110210801,5,5701,1,2,77,7,250000,132000,140932,647000,660234,910234,NA,NA,NA,462500,161750,227559,115625,6,2,NA
710110590701,7,7101,10,1,37,8,200000,320000,320000,535000,535000,735000,270000,270000,320000,320000,267500,367500,160000,15,9,NA
911230061601,9,9112,1,2,76,1,100000,NA,109578,300000,519156,619156,NA,NA,NA,300000,100000,206385,100000,3,1,NA
830220030701,8,8302,1,1,54,1,150000,350000,350000,910000,922675,1072675,350000,350000,350000,850000,182000,214535,170000,10,3,NA
1311110031201,13,13111,10,2,12,8,280000,NA,NA,1081750,1213471,1493471,NA,NA,NA,908750,154536,213353,129821,NA,1,2
710620011501,7,7106,4,1,21,8,180000,60000,93157,410000,505112,685112,NA,NA,60000,410000,82000,137022,82000,14,7,NA
1110110490201,11,11101,2,2,66,1,350000,NA,112979,180000,301911,651911,NA,NA,NA,0,90000,325956,0,4,1,NA
510130021301,5,5101,4,2,3,8,0,NA,NA,2080000,2080000,2080000,NA,NA,NA,2080000,693333,693333,693333,NA,0,3
1510112990502,15,15101,1,2,43,5,200000,415000,527014,415000,532792,732792,330000,330000,330000,330000,138333,244264,110000,12,5,NA
1030110521301,10,10301,1,1,60,1,200000,271667,278473,408334,415140,615140,270000,270000,271667,408334,136111,205047,136111,8,2,NA
1410111340301,14,14101,1,1,77,7,100000,130000,130000,130000,130000,230000,NA,NA,NA,0,65000,115000,0,6,2,NA
1312410180101,13,13124,1,2,33,8,0,504167,506318,504167,506318,506318,500000,500000,504167,504167,252084,253159,252084,14,7,NA
740230011601,7,7402,2,2,52,1,150000,NA,NA,2416666,2449934,2599934,NA,NA,NA,2416666,604167,649984,604167,12,5,NA
1311910201401,13,13119,1,1,62,1,350000,888333,888333,1548333,1581490,1931490,800000,800000,888333,1488333,387083,482873,372083,14,8,NA
410210050301,4,4102,4,1,8,8,200000,NA,NA,400000,414736,614736,NA,NA,NA,400000,80000,122947,80000,NA,1,2
1312510190201,13,13125,1,1,56,1,380000,500000,500000,500000,500000,880000,400000,400000,500000,500000,166667,293333,166667,9,3,NA
811210180301,8,8112,2,1,63,2,0,110000,110000,1412500,1419306,1419306,NA,NA,NA,1302500,282500,283861,260500,7,3,NA
611630031901,6,6116,1,1,52,1,180000,556667,556667,1819583,1819583,1999583,550000,550000,556667,1812500,606528,666528,604167,8,2,NA
510111250201,5,5101,4,1,5,8,400000,NA,NA,1000000,1000000,1400000,NA,NA,NA,1000000,250000,350000,250000,NA,0,3
1420130050301,14,14201,1,1,51,2,150000,541667,541667,541667,541667,691667,270000,270000,541667,541667,270834,345834,270834,8,2,NA
1311110080903,13,13111,2,1,63,2,200000,503333,503333,663333,663333,863333,500000,500000,503333,503333,331667,431667,251667,13,6,NA
1510110250401,15,15101,4,2,29,8,200000,300000,300000,630000,740646,940646,300000,300000,300000,300000,157500,235162,75000,16,11,NA
580410590801,5,5804,2,2,52,1,180000,NA,NA,850000,850000,1030000,NA,NA,NA,850000,212500,257500,212500,12,5,NA
310310110401,3,3103,2,2,63,1,200000,60000,60000,240000,284000,484000,NA,NA,NA,0,60000,121000,0,4,1,NA
730111690201,7,7301,2,2,52,1,150000,NA,NA,280000,287368,437368,NA,NA,NA,280000,93333,145789,93333,9,3,NA
730111081301,7,7301,5,1,11,8,0,NA,11091,391667,460992,460992,NA,NA,NA,271667,130556,153664,90556,NA,1,1
1510112150302,15,15101,2,2,27,2,280000,NA,NA,274167,322027,602027,NA,NA,NA,274167,68542,150507,68542,12,6,NA
820330010701,8,8203,1,2,47,8,100000,400000,400000,400000,400000,500000,400000,400000,400000,400000,400000,500000,400000,15,8,NA
210112650803,2,2101,2,2,32,2,280000,NA,NA,200000,200000,480000,NA,NA,NA,200000,28571,68571,28571,6,1,NA
810210500401,8,8102,5,1,6,8,120000,80000,80000,548167,548167,668167,NA,NA,NA,150000,182722,222722,50000,NA,0,2
1420110080701,14,14201,1,2,82,7,350000,417,8749,130834,139166,489166,NA,NA,417,130834,65417,244583,65417,8,3,NA
1240110340801,12,12401,1,2,41,5,280000,319667,380989,319667,380989,660989,300000,300000,319667,319667,106556,220330,106556,8,2,NA
